asset,name,kind,input_candidate_status,classification,routing_bucket,queue_policy,registry_target,next_action,resolution
ARCSLN01,ARCSLN01,line-style,pending_judge,style_primitive_not_standalone_icon,style_primitive_registry,track_in_renderer_style_contract_not_icon_art_approval,style_primitive_registry_batch98,cover_by_renderer_style_contract_tests,"arc/sector line style primitive; renderer stroke contract, not a standalone icon"
BCNCON81,BCNCON81,symbol,chart1_fail_repair_queue,chart1_parity_blocked_after_symbolspec_render,chart1_parity_witness_needed,exclude_from_normal_icon_art_queue_until_chart1_parity_evidence,witness_needed_batch98,attach_exact_chart1_or_equivalent_witness_then_rerun_parity_gate,Generate owned beacon/conical special-purpose mark from explicit S-57 conditions; no external art import required.
DANGER53,DANGER53,symbol,judge_fail_repair_queue,reference_blocked_official_symbol,witness_needed_official_symbol,exclude_from_normal_icon_art_queue_until_tight_witness_attached,witness_needed_batch98,attach_tight_reference_before_render,"Official S-52 danger symbol row exists, but no tight OpenCPN/S-101/AquaMap/Chart-1 one-symbol witness is attached."
DASH,DASH,line-style,pending_judge,style_primitive_not_standalone_icon,style_primitive_registry,track_in_renderer_style_contract_not_icon_art_approval,style_primitive_registry_batch98,cover_by_renderer_style_contract_tests,"generic dashed line primitive used by many lookups; style contract, not a standalone icon"
DATCVR01,DATCVR01,conditional-procedure,pending_judge,portrayal_rule_not_standalone_icon,portrayal_rule_registry,track_in_rule_registry_not_icon_art_approval,portrayal_rule_registry_batch98,cover_by_portrayal_rule_or_runtime_renderer_test,data-coverage conditional procedure
DEPARE01,DEPARE01,conditional-procedure,pending_judge,portrayal_rule_not_standalone_icon,portrayal_rule_registry,track_in_rule_registry_not_icon_art_approval,portrayal_rule_registry_batch98,cover_by_portrayal_rule_or_runtime_renderer_test,depth-area conditional procedure
DEPARE02,DEPARE02,conditional-procedure,pending_judge,portrayal_rule_not_standalone_icon,portrayal_rule_registry,track_in_rule_registry_not_icon_art_approval,portrayal_rule_registry_batch98,cover_by_portrayal_rule_or_runtime_renderer_test,depth-area conditional procedure
DEPCNT02,DEPCNT02,conditional-procedure,pending_judge,portrayal_rule_not_standalone_icon,portrayal_rule_registry,track_in_rule_registry_not_icon_art_approval,portrayal_rule_registry_batch98,cover_by_portrayal_rule_or_runtime_renderer_test,depth-contour conditional procedure
DGPS01DRFSTA01,DGPS01DRFSTA01,symbol,judge_fail_repair_queue,reference_blocked_official_symbol,witness_needed_official_symbol,exclude_from_normal_icon_art_queue_until_tight_witness_attached,witness_needed_batch98,attach_tight_reference_before_render,"DGPS/radio-station composite row exists, but current merged token lacks a tight symbol witness."
DOTT,DOTT,line-style,pending_judge,style_primitive_not_standalone_icon,style_primitive_registry,track_in_renderer_style_contract_not_icon_art_approval,style_primitive_registry_batch98,cover_by_renderer_style_contract_tests,"generic dotted line primitive used by obstruction/foul-area rules; style contract, not a standalone icon"
LEGLIN02,LEGLIN02,conditional-procedure,pending_judge,portrayal_rule_not_standalone_icon,portrayal_rule_registry,track_in_rule_registry_not_icon_art_approval,portrayal_rule_registry_batch98,cover_by_portrayal_rule_or_runtime_renderer_test,leg-line conditional procedure
NEWOBJ 01,NEWOBJ 01,symbol,judge_fail_repair_queue,manual_exception_newobj_placeholder,manual_policy_exception,exclude_from_normal_icon_art_queue_until_product_policy_decision,manual_exception_policy_batch98,decide_runtime_placeholder_policy_or_explicit_manual_exception,"NEWOBJ is a placeholder/new-object hook, not a stable nautical symbol to visually promote."
NEWOBJ01,NEWOBJ01,symbol,judge_fail_repair_queue,manual_exception_newobj_placeholder,manual_policy_exception,exclude_from_normal_icon_art_queue_until_product_policy_decision,manual_exception_policy_batch98,decide_runtime_placeholder_policy_or_explicit_manual_exception,"NEWOBJ area symbol is a placeholder/new-object hook; line style is handled by the renderer, not a canonical pictogram."
